movierater.keyword_new,rating_neutral,rating_positive,rating_negative,neutral_percentage,positive_percentage,negative_percentage
blackmirror,41,53,50,28.47222222222222,36.80555555555556,34.72222222222222
breakingbad,83,68,49,41.5,34.0,24.5
gameofthrones,101,66,33,50.5,33.0,16.5
moneyheist,100,69,31,50.0,34.5,15.5
narcos,43,31,16,47.77777777777778,34.44444444444444,17.77777777777778
prisonbreak,136,45,19,68.0,22.5,9.5
riverdale,74,98,28,37.0,49.0,14.000000000000002
strangerthings,80,94,26,40.0,47.0,13.0
thebigbangtheory,57,31,13,56.43564356435643,30.693069306930692,12.871287128712872
thewalkingdead,70,85,45,35.0,42.5,22.5
